,client_id,Variation,mode,result,Time_AVG,total_time
257,676552,Test,start,not succeed,0.0,
258,3399501,Test,,succeed,66.8,267.0
259,3543788,Test,confirm,error,0.0,
260,7902599,Test,,succeed,15.5,62.0
261,8068308,Control,start,not succeed,0.0,
262,4638153,Control,start,not succeed,0.0,
263,1788838,Control,confirm,error,0.0,
264,693101,Test,,succeed,37.5,150.0
265,6520285,Test,,succeed,72.8,291.0
266,9997114,Control,,succeed,74.5,298.0
267,3286605,Control,start,not succeed,0.0,
268,1751757,Test,confirm,error,0.0,
269,1064690,Control,confirm,error,0.0,
270,2038707,Control,,succeed,176.2,705.0
271,297472,Control,confirm,error,0.0,
272,2160702,Control,start,not succeed,0.0,
273,2289897,Control,confirm,error,0.0,
274,4657902,Test,start,not succeed,0.0,
275,6960009,Control,,succeed,103.5,414.0
276,6665317,Test,start,not succeed,0.0,
277,2057773,Control,,succeed,33.0,132.0
278,7523181,Control,start,not succeed,0.0,
279,5324253,Test,confirm,error,0.0,
280,860745,Control,confirm,error,0.0,
281,5340072,Test,confirm,error,0.0,
282,5226626,Test,confirm,error,0.0,
283,4520186,Test,start,not succeed,0.0,
284,219230,Control,start,not succeed,0.0,
285,3369137,Control,confirm,error,0.0,
286,7479054,Control,confirm,error,0.0,
287,4244891,Test,start,not succeed,0.0,
288,4384098,Control,step_1,error,0.0,
289,7582150,Control,,succeed,28.0,112.0
290,8308363,Test,confirm,error,0.0,
291,8165914,Test,confirm,error,0.0,
292,3520993,Control,start,not succeed,0.0,
293,5645966,Control,confirm,error,0.0,
294,9378146,Control,,succeed,47.2,189.0
295,148369,Test,,succeed,71.8,287.0
296,5192659,Test,confirm,error,0.0,
297,7007069,Control,,succeed,46.0,184.0
298,127921,Test,,succeed,89.8,359.0
299,3310785,Control,start,not succeed,0.0,
300,7423412,Control,start,not succeed,0.0,
301,8279228,Test,confirm,error,0.0,
302,588240,Control,confirm,error,0.0,
303,7699381,Control,confirm,error,0.0,
304,7046133,Control,confirm,error,0.0,
305,9364005,Test,,succeed,57.0,228.0
306,5459195,Test,confirm,error,0.0,
307,6442655,Test,,succeed,168.8,675.0
308,7449461,Test,start,not succeed,0.0,
309,4963381,Test,start,not succeed,0.0,
310,6456062,Control,confirm,error,0.0,
311,4823947,Control,start,not succeed,0.0,
312,8860992,Control,start,not succeed,0.0,
313,530654,Control,start,not succeed,0.0,
314,3347759,Control,start,not succeed,0.0,
315,7873338,Control,,succeed,96.2,385.0
316,169185,Test,confirm,error,0.0,
317,6980919,Test,start,not succeed,0.0,
318,6519269,Test,start,not succeed,0.0,
319,1638971,Test,start,not succeed,0.0,
320,7984549,Test,confirm,error,0.0,
321,4137841,Test,start,not succeed,0.0,
322,459221,Test,start,not succeed,0.0,
323,3430793,Test,step_1,error,0.0,
324,4853470,Test,confirm,error,0.0,
325,8696517,Control,start,not succeed,0.0,
326,5751565,Test,confirm,error,0.0,
327,3968370,Control,start,not succeed,0.0,
328,1718250,Test,confirm,error,0.0,
329,6058534,Test,start,error,0.0,
330,6597561,Control,confirm,error,0.0,
331,6098661,Test,,succeed,22.0,88.0
332,8861365,Test,start,not succeed,0.0,
333,2346575,Test,confirm,error,0.0,
